magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
6.0,1,1,695,263,4.116069993386865,20.437315618731603,436.93624588276344,55.68651799865023,129.15072921930619,1976,5,0
5.4,10,6,980,262,3.131924474428749,165.15774173767403,164.86107724529742,-21.72898948904198,72.16375155276884,2011,4,0
6.1,9,3,380,291,0.7513432035978176,140.00602400252114,162.17854453636116,-81.49952223094414,-35.347154903389736,2022,8,0
7.0,6,7,523,273,0.6226212309482606,148.02104006223254,200.67823424483095,-58.240841315336944,-152.53111649733137,2004,7,1
5.3,0,5,955,2,1.8485306195040851,162.49748183361157,122.60698141659802,82.06257102987283,83.77206619349056,1999,6,0
5.3,7,9,369,27,0.9089028844217601,94.4819976106509,274.5866005362476,-77.32703476754745,42.07851214746535,1981,5,1
7.1,2,3,253,148,3.326732566893556,81.21477446113026,98.23868005261599,-26.112383825757078,-178.95178157983605,2004,5,0
6.3,1,4,713,27,2.2495712651236675,59.47046525981097,78.85636348970988,0.5722500692420169,-176.6088518499197,1980,10,0
5.0,2,8,826,64,4.28208513893294,106.05863058261399,23.48686453102061,-1.2094510790591926,111.1654703493698,2013,2,0
6.0,4,6,761,20,1.7979859114177055,81.77011142216806,24.51376847528985,-89.28721025781431,-86.61609403133261,1973,4,0
5.0,10,9,182,251,0.21951818258055855,81.28180558900353,238.30396539276563,0.20929166234826369,49.00812038210364,1994,8,0
5.0,7,8,721,234,2.1009838411278494,168.64701547160502,54.77996566878534,-20.92095756406634,-16.482808884510916,2017,8,0
5.7,9,6,998,226,2.9461321319345557,177.12567257024344,339.4021333549614,84.97428038542029,130.83480522783623,2001,11,0
3.6,6,0,525,12,1.1715203369555331,143.36719007932453,315.67810908236254,-61.35136488111063,150.1060007168959,1989,1,0
3.8,6,7,374,48,1.6473805762172642,136.2164562444471,141.137405782938,-26.252244583290903,178.85077656438744,2019,2,0
4.9,6,3,812,117,0.5592294454793411,122.50046912023826,182.61984934803465,-14.493332683832449,-124.67371110939115,2000,5,0
4.5,7,2,383,53,2.559092579563207,29.893473420032468,462.1645602270692,-19.675163321829217,130.66705673117116,1973,9,0
5.8,0,6,272,137,1.744997101341062,10.639047757617814,164.24953191769947,29.84954897733526,-84.23230437763137,2007,10,0
4.6,3,2,426,52,0.7652394537469409,124.33073672038736,178.83797210751015,-51.20768564140161,32.69371496238276,2022,11,0
4.1,5,7,817,43,2.962473746337153,131.18152000618366,262.9166052227085,-50.20712049348147,2.0782201929159214,2016,12,0
7.0,8,5,162,52,2.108958761248445,8.455138397665163,172.52611224762774,41.257970730153545,-173.52427263394046,1970,11,0
5.3,1,4,172,73,2.224508733907516,167.04931504119267,43.46193659975937,0.05229336207233359,155.7976607661941,1972,7,0
5.6,0,3,862,45,0.3840479620287981,16.405315100041957,111.48844501484945,-15.27197830968413,-151.80226014628136,2006,10,0
4.1,9,7,735,12,0.2389244773808521,51.46209607881643,149.59105740463437,-59.543450698094674,67.75881098678491,1991,5,0
5.0,1,7,474,164,1.5499395810245318,121.0301663037668,126.49180964644972,-56.24509987581001,102.60246103497434,1986,1,0
5.6,6,0,732,101,0.6109123660941158,30.57706699280574,234.7141284362255,-88.1007053731379,106.30362565716632,1983,6,0
4.3,2,8,607,279,2.403088080697192,9.974859919603997,108.2768972164103,-73.54327160489234,-131.22197318561587,2010,12,1
5.9,9,4,886,257,0.6938600544766196,59.606368049546965,117.88711096217976,10.23096504424339,-18.874817817130037,2004,8,0
4.9,1,3,497,137,1.6683082697935079,137.87488347393224,409.26478529693696,70.53716340151377,118.59439335623273,1982,7,0
5.2,10,5,219,162,2.6667990349799204,74.46216221734686,209.3964365427238,-38.31034227649966,-71.03548426364831,2004,2,0
4.9,6,5,536,110,1.5592494876979484,117.53512594342908,177.2310970078871,-31.005499338696936,-11.610476865121115,2012,12,0
7.4,1,1,928,101,1.705772142641203,104.3314375010646,274.7066768796812,-69.19099008992781,-81.79419862805553,1971,5,0
5.5,2,7,775,16,1.0367336930563313,3.999326764604474,73.85934100440343,-20.046429790721504,-13.121489561283312,2016,11,0
4.4,10,6,564,267,0.5161528238470343,177.9371976682272,36.608019340572056,-83.30009317752075,139.62165213343684,1982,4,0
6.3,6,0,385,181,3.5899397597448925,7.457055987489795,108.14821939023575,75.16812532714204,-16.155276828203,2020,9,0
4.3,3,4,364,23,1.1556957716441403,174.2044927767273,22.137493895491843,31.160042662415165,20.12832614675534,1985,10,0
5.7,0,5,419,28,3.845107272994862,98.97555210559167,382.41534820293367,88.3347856907794,-34.56853801088991,1987,1,0
3.5,4,3,772,170,0.08467344595842086,173.36862487171197,60.555103259564525,68.90816928212885,-14.357814046802815,1976,12,0
4.2,8,1,475,227,1.3509211782018098,20.655647894490382,80.0446709873745,-4.861693134332526,-174.5372883432882,2014,6,0
5.7,7,3,919,187,0.4259823436721978,88.27353345339237,342.4880449693701,3.543305607067836,-77.85161641423583,2005,3,0
6.2,8,0,188,229,1.8879770276868297,30.510736535890555,28.664863611135786,-55.69631162690511,-22.8305801729432,2010,11,0
5.7,9,6,753,118,2.3425130020901817,9.175477864039634,279.8518700061269,-6.832918288879995,48.16691135738239,1999,9,0
5.4,8,1,302,155,1.9036991435513508,111.15524071121608,161.11512162820708,72.54501722870609,-17.981305000598837,2011,5,0
5.2,6,1,920,271,2.562778215622043,37.40101577310446,381.11818794862165,-80.8463837455522,-58.38586440423694,2010,6,0
4.0,3,8,838,174,0.9802405172165097,105.78546329175828,39.93501462924485,65.44022453969575,-40.284455276103415,1976,11,0
4.8,4,4,433,103,0.7142074485044836,20.225606750817413,396.37989347260066,-28.62939570433025,-92.77440148783205,1984,9,0
5.0,0,1,321,91,1.6372895109139574,59.7575648578865,19.87185594369511,71.91229771733578,152.81794179865904,2009,9,0
6.6,0,10,140,185,1.9576764027468472,140.6938604495845,114.48319654222546,79.35838314146724,7.827561284729256,1988,8,0
5.8,2,8,807,282,1.2582761383602359,78.66927393159378,373.8018574574603,30.755679660343063,-175.17259660603568,2012,9,0
3.7,7,8,167,180,0.8981278936562003,112.99417468152055,19.077171690618794,29.59628158668201,-172.9993469689632,2006,4,0
5.8,1,0,875,169,0.713773891818482,116.54242933419827,208.20597199158064,-8.50421921242679,170.26618858273497,1971,6,0
5.1,3,10,613,186,0.9446806579843148,151.87590791771285,132.27917543167223,60.39724041786735,-100.27767910563179,2011,5,0
4.8,1,2,972,174,0.6456458027531242,58.48610299319543,175.02977270207845,83.09029651799096,110.0189839731533,2017,5,0
6.1,4,3,736,221,0.20794924215504307,123.71320126485315,125.84313136669401,49.51472406104145,-159.0208914381932,1982,4,1
6.5,8,6,721,232,1.3593833210862531,173.09084526830983,59.52597570295728,21.948612076207652,151.61858521003768,2009,2,0
6.4,0,9,697,161,1.726238678399429,131.44380018441623,39.55951028453393,19.222721247840624,134.79012132000423,2010,12,0
4.7,4,3,731,133,0.15585187157927116,88.17668580919401,120.915236073665,62.904582285059206,25.593538476425294,2012,6,0
5.2,8,1,226,223,0.39889664621891374,113.52914000854726,277.9418237740578,7.4166778388337065,-176.7604833780279,2012,9,0
5.8,0,6,354,152,0.6930673731026973,133.14292159735948,298.9059821353286,54.69477952478809,-87.18808535159847,2000,12,0
6.5,8,5,794,32,1.0072199610651773,110.20963782489704,52.01659337624197,1.5993459313642404,-33.543846936552626,1985,1,0
5.0,7,2,115,54,0.8077217956213493,3.0016464281710475,288.83203650489145,-78.76003050469366,-14.37691797087777,2011,7,0
5.3,3,5,576,6,1.9895817994845908,35.059229583700656,363.0745349169299,-20.889538397252053,-72.83564691754607,2013,6,0
4.4,10,10,161,243,1.4785505235557137,145.88427909878388,60.683496181908815,-10.000627619130228,-168.1387674316092,1975,3,0
4.3,9,5,980,125,1.2125557975101753,49.077116516247244,212.69782633812497,-64.50889590240891,32.44586613355517,1997,1,0
6.3,4,4,531,11,1.2903540988803668,131.6811815210041,10.762370829506793,-71.5506607459417,8.695680370112143,2001,4,0
6.9,4,3,769,15,0.09597122825831683,66.98163874350577,84.22872135262429,6.383690938251746,-78.11977124553202,2013,9,0
5.4,10,9,367,207,2.3263634586607163,93.93917906842977,346.0300918109975,-74.67414541990522,-166.32865167494165,1979,2,0
6.5,5,0,134,42,2.7547014288828255,12.235193967492666,50.34578098577565,-35.46986977978489,178.05390739989843,2019,3,0
5.9,6,9,878,134,1.3506207646343653,32.62060098894772,35.692557587097404,44.02745567335367,-6.484972742493881,1987,2,0
4.9,7,5,675,227,0.6079623744112688,172.29545343346223,78.66487915293098,83.59779232223653,92.16152703866777,1973,2,0
5.9,7,1,593,110,2.581890274340589,160.22484962044453,104.30901739029741,39.216704499347145,-17.166947381519208,1978,10,0
7.0,10,2,661,159,1.298353993225491,117.40951996182903,205.50716442659095,88.67259872151664,-164.45869528934108,1976,11,0
5.5,1,7,568,263,1.2304039587906765,82.73602752943273,89.18442967085548,35.70083483029248,-68.54373176921997,2019,11,0
7.1,8,9,866,224,1.0977794720977765,121.63703272114029,423.8538566432482,-37.11699528222105,-64.76034923787557,1977,8,1
2.9,6,5,760,216,3.275420184562967,111.34985203690903,305.7247776102295,30.96945729096514,121.80704545764576,2012,3,0
6.3,3,2,424,44,3.0267038698918443,102.33940600883018,180.72537759739302,36.388217735442694,55.52279207995477,1976,7,0
5.6,3,6,403,213,2.7757147131443674,10.651872935437527,185.08182378620822,-23.089142769037096,-80.84523468978978,2010,8,0
